District,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kannur,RajadhaniCinemas,Malayalam,10:30,PlatinumCircle,₹130,88,0
Malappuram,SreekumarAndPavithraTheatreAC2K,Malayalam,11:30,FirstClass,₹110,137,2
Kozhikode,RoseCinePalaceTripleBeam3DMukkam,Malayalam,11:45,Executive,₹129.8,161,0
Ernakulam,Kanoos2KRavipuram,Malayalam,12:00,Diamond,₹110,186,0
Thrissur,SreelakshmiCinemaAmballur4K2KLaserProjection,Malayalam,12:30,Gold,₹150,145,0
Kozhikode,ChithraCineplex4KDtsXKozhikodeMannurValavu,Malayalam,14:15,Gold,₹129.8,142,4
Malappuram,SreekumarAndPavithraTheatreAC2K,Malayalam,14:30,FirstClass,₹110,137,0
Kozhikode,RoseCinePalaceTripleBeam3DMukkam,Malayalam,14:45,Executive,₹129.8,161,3
Ernakulam,Kanoos2KRavipuram,Malayalam,15:00,Diamond,₹110,186,3
Thrissur,SreelakshmiCinemaAmballur4K2KLaserProjection,Malayalam,15:30,Gold,₹150,145,0
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,15:45,Normal,₹120,20,3
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,15:45,Executive,₹150,43,27
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,15:45,Premium,₹180,44,29
Kozhikode,RoseCinePalaceTripleBeam3DMukkam,Malayalam,18:00,Executive,₹129.8,161,3
Ernakulam,Kanoos2KRavipuram,Malayalam,19:00,Diamond,₹110,186,0
Trivandrum,PvrLuluTrivandrum,Malayalam,19:25,Recliner,₹350,8,7
Trivandrum,PvrLuluTrivandrum,Malayalam,19:25,Prime,₹160,34,16
Trivandrum,PvrLuluTrivandrum,Malayalam,19:25,Classic,₹140,65,2
Ernakulam,PvrLuluKochi,Malayalam,19:30,Recliner,₹400,10,8
Ernakulam,PvrLuluKochi,Malayalam,19:30,Prime,₹160,68,18
Ernakulam,PvrLuluKochi,Malayalam,19:30,ClassicPlus,₹140,91,14
Ernakulam,PvrLuluKochi,Malayalam,19:30,Classic,₹110,39,3
Kozhikode,RoseCinePalaceTripleBeam3DMukkam,Malayalam,21:15,Executive,₹129.8,161,4
Thrissur,SreelakshmiCinemaAmballur4K2KLaserProjection,Malayalam,21:30,Gold,₹150,145,4
Ernakulam,Kanoos2KRavipuram,Malayalam,21:50,Diamond,₹110,186,4
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Malayalam,22:00,Silver,₹200,26,0
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Malayalam,22:00,Gold,₹220,65,15
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Malayalam,22:00,Platinum,₹240,40,12
Ernakulam,PvrForumMallKochi,Malayalam,22:20,Elite,₹170,85,27
Ernakulam,PvrForumMallKochi,Malayalam,22:20,Classic,₹150,22,0
Kozhikode,ChithraCineplex4KDtsXKozhikodeMannurValavu,Malayalam,22:30,Gold,₹129.8,142,2
