District,Name,Language,Time(IST),Area,Price,Capacity,Booked
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,08:40,Normal,₹140,38,5
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,08:40,Executive,₹180,57,2
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,08:40,Premium,₹200,202,9
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,09:10,Normal,₹220,38,12
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,09:10,Executive,₹240,69,9
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,09:10,Premium,₹260,56,4
Ernakulam,MyCinemasRedCarpetKariyad,Malayalam,09:15,3DGoldPackage320,₹320,32,0
Ernakulam,MyCinemasRedCarpetKariyad,Malayalam,09:15,3DExecutivePackage220,₹220,96,0
Trivandrum,CinepolisMotTrivandrum,Tamil,09:30,Normal,₹180,36,0
Trivandrum,CinepolisMotTrivandrum,Tamil,09:30,Executive,₹200,90,4
Trivandrum,CinepolisMotTrivandrum,Tamil,09:30,Premium,₹220,67,5
Ernakulam,CinepolisVipCentreSquareMallKochi,Malayalam,09:40,VipExecutive,₹380,22,0
Ernakulam,CinepolisVipCentreSquareMallKochi,Malayalam,09:40,VipPremium,₹430,54,12
Trivandrum,CinepolisMotTrivandrum,Malayalam,09:45,Normal,₹200,34,0
Trivandrum,CinepolisMotTrivandrum,Malayalam,09:45,Executive,₹220,136,0
Trivandrum,CinepolisMotTrivandrum,Malayalam,09:45,Premium,₹240,137,0
Kannur,ArchanaCineplexRgbLaser4K3DAtmosPayyanur,Malayalam,09:45,Standard,₹129.7,196,3
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Malayalam,10:00,Recliner,₹400,29,0
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Malayalam,10:00,Premium,₹180,135,1
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Malayalam,10:00,Executive,₹100,27,5
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Malayalam,10:00,Lounger,₹200,24,1
Kollam,MyCinemasHJComplexKarunagapally,Malayalam,10:00,3DClassicPack180,₹180,118,7
Kottayam,MyCinemasThalayolaparambuKerala,Malayalam,10:00,3DGoldPackage140,₹140,204,10
Malappuram,SangeethLumiereDolbyAtmosKottakkal,Malayalam,10:00,Executive,₹129.8,212,1
Kannur,CrownCinema2KDolbyTaliparamba,Malayalam,10:00,Crown,₹130,201,1
Trivandrum,CinepolisMotTrivandrum,Malayalam,10:15,Normal,₹180,34,0
Trivandrum,CinepolisMotTrivandrum,Malayalam,10:15,Executive,₹200,85,11
Trivandrum,CinepolisMotTrivandrum,Malayalam,10:15,PlatinumPremium,₹280,50,9
Alappuzha,SandraVallakaliCineComplex,Malayalam,10:15,PlatinumFamilyClass,₹130,114,22
Alappuzha,SandraVallakaliCineComplex,Malayalam,10:15,GoldBalcony,₹110,143,22
Kottayam,AshaTheatreKottayam,Malayalam,10:15,Gold3D,₹160,187,10
Kottayam,AshaTheatreKottayam,Malayalam,10:15,Silver3D,₹140,33,0
Kasaragod,MoviemaxCircleKasaragod,Malayalam,10:15,Max3,₹129.8,289,4
Pathanamthitta,TrinityMovieMaxPathanamthitta,Malayalam,10:30,Special,₹130,110,24
Kasaragod,KaveriCinemasACDtsDolbyKarmamthody,Malayalam,10:30,Standard,₹110,145,3
Kozhikode,RoseCinePalaceTripleBeam3DMukkam,Malayalam,10:30,Executive3DChargesInclusive,₹149.8,700,68
Kottayam,RdCinemasMundakayam,Malayalam,10:30,Executive3D,₹170,198,0
Kottayam,RdCinemasMundakayam,Malayalam,10:30,Economy3D,₹130,16,0
Ernakulam,AnnCinemaComplex4K3DDolbyAtmosRgbLaser,Malayalam,10:30,Platinum,₹150,279,15
Kollam,KrishnaACKarunagappally2KDolby71,Malayalam,10:30,Platinum,₹170,54,0
Kollam,KrishnaACKarunagappally2KDolby71,Malayalam,10:30,Gold,₹125,251,22
Kollam,MyCinemasRpMallKollamKerala,Malayalam,10:40,3DPremiumPackage210,₹210,96,24
Trivandrum,PvrLuluTrivandrum,Malayalam,10:45,Recliner,₹380,9,8
Trivandrum,PvrLuluTrivandrum,Malayalam,10:45,Prime,₹220,76,25
Trivandrum,PvrLuluTrivandrum,Malayalam,10:45,Classic,₹200,105,10
Ernakulam,AashirvadCineplexxGrandCentreMallMuvattupuzha,Malayalam,10:45,Recliner,₹310,8,0
Ernakulam,AashirvadCineplexxGrandCentreMallMuvattupuzha,Malayalam,10:45,Platinum,₹180,27,0
Ernakulam,AashirvadCineplexxGrandCentreMallMuvattupuzha,Malayalam,10:45,Gold,₹160,63,0
Pathanamthitta,AashirvadCineplexxKadappra,Malayalam,10:45,SofaSeat,₹275,21,1
Pathanamthitta,AashirvadCineplexxKadappra,Malayalam,10:45,Platinum,₹175,68,6
Pathanamthitta,AashirvadCineplexxKadappra,Malayalam,10:45,Gold,₹155,124,7
Pathanamthitta,AashirvadCineplexxKadappra,Malayalam,10:45,Silver,₹100,20,0
Ernakulam,PadmaCinemaKochi,Malayalam,10:45,Platinum,₹160,178,23
Kozhikode,AshokCnc4KDolbyAtmosTrippleBeam3DVadakara,Malayalam,10:45,Platinum3D,₹159.8,120,4
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:50,Normal,₹200,29,4
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:50,Executive,₹220,83,7
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:50,Premium,₹240,44,2
Trivandrum,MridhangaCineplex4KDolbyAtmosPoovar,Tamil,11:00,Executive3D,₹180,130,0
Trivandrum,DreamsAttingal,Malayalam,11:00,Recliner,₹350,11,2
Trivandrum,DreamsAttingal,Malayalam,11:00,Sofa,₹200,60,9
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,11:00,Recliner,₹340,17,1
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,11:00,Platinum,₹160,45,4
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,11:00,Gold,₹129,149,2
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,11:00,Silver,₹80,21,0
Ernakulam,PvrForumMallKochi,Malayalam,11:00,Recliner,₹430,13,4
Ernakulam,PvrForumMallKochi,Malayalam,11:00,Elite,₹220,218,41
Ernakulam,PvrForumMallKochi,Malayalam,11:00,Prime,₹210,60,0
Ernakulam,PvrForumMallKochi,Malayalam,11:00,Classic,₹200,40,0
Kannur,LibertyCinemaKannurAmbiliTheatre,Malayalam,11:00,Platinum,₹129.8,230,117
Alappuzha,SeethasTheatreAC2KAlappuzha,Malayalam,11:00,Balcony,₹150,154,2
Alappuzha,SeethasTheatreAC2KAlappuzha,Malayalam,11:00,FirstClass,₹100,390,327
Alappuzha,SvCinemasKayamkulam,Malayalam,11:00,Standard3D,₹180,108,0
Kollam,LmCinemas4K3DDolby71Chathannoor,Malayalam,11:00,Audi13D,₹190,101,2
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Malayalam,11:00,Recliner,₹550,102,10
Trivandrum,StarCinemaDolby71Varkala,Tamil,11:00,SpecialClass,₹140,236,0
Trivandrum,NewTheatre4KRgbLaserDolbyAtmosTrivandrum,Malayalam,11:00,Elite,₹150,173,14
Kollam,SreeDhanyaCinemax,Malayalam,11:00,Executive,₹300,14,0
Kollam,SreeDhanyaCinemax,Malayalam,11:00,Platinum,₹129.8,217,0
Kollam,SreeDhanyaCinemax,Malayalam,11:00,PlatinumFamily,₹129.8,113,0
Kollam,RevathyCinemaxRgbRealLaserParippally,Malayalam,11:00,Platinum3D,₹280,34,0
Kollam,RevathyCinemaxRgbRealLaserParippally,Malayalam,11:00,Gold3D,₹180,234,8
Trivandrum,KairaliSreeNilaRgbLaser4KDolbyAtmos,Tamil,11:00,Platinum,₹125,259,13
Alappuzha,ParadiseCinemaCherthala,Malayalam,11:00,Gold,₹150,204,3
Kozhikode,KairaliSreeTheatreKozhikode,Malayalam,11:00,SreeGold,₹150,311,11
Kottayam,UgmCinemasEttumanoor,Malayalam,11:00,Platinum,₹250,16,1
Kottayam,UgmCinemasEttumanoor,Malayalam,11:00,Gold,₹150,160,13
Kozhikode,MagicFramesCinemas4KDolbyAtmosKunnamangalam,Malayalam,11:00,Gold3DChargesInclusive,₹200,321,0
Trivandrum,MtCineplex4KDolbyAtmosPothencode,Malayalam,11:00,Platinum3DChargesInclusive,₹159.8,"1,050",0
Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmosThoongamparaKattakada,Malayalam,11:00,Platinumrecliner,₹400,13,4
Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmosThoongamparaKattakada,Malayalam,11:00,Gold,₹180,174,2
Trivandrum,SriKalidasMPlex4KRgbLaserDolbyAtmosThoongamparaKattakada,Malayalam,11:00,Silver,₹150,51,0
Wayanad,AiswaryaAthulyaAiswaryaCineplexSulthanBathery,Malayalam,11:00,SofaSeat,₹180,32,0
Wayanad,AiswaryaAthulyaAiswaryaCineplexSulthanBathery,Malayalam,11:00,GoldClass,₹110,294,7
Trivandrum,SreeKaleeswarySreeSaraswathy2K3DKaliyikkav,Malayalam,11:00,RoyalCircle,₹150,177,2
Alappuzha,GanamTheatreComplexACKattanam,Malayalam,11:00,FirstClass,₹140,258,138
Kollam,MinervaEmpireCinemazChandamukku,Malayalam,11:00,Executive,₹200,26,0
Kollam,MinervaEmpireCinemazChandamukku,Malayalam,11:00,Diamond,₹129.83,420,4
Ernakulam,MyCinemasKsrtComplexAngamalyKerala,Malayalam,11:00,3DGoldPack180,₹180,203,14
Palakkad,KairaliSreeTheatreChittur,Tamil,11:00,Platinum,₹105,234,2
Thrissur,VbCinemas4KRgbLaserAtmosThriprayar,Malayalam,11:00,Reclainer,₹300,8,0
