State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kerala,Trivandrum,"BMS|CinepolisMotTrivandrum",Tamil,09:10,Premium,₹220,67,4
Kerala,Trivandrum,"BMS|CinepolisMotTrivandrum",Tamil,09:45,Normal,₹200,34,0
Kerala,Trivandrum,"BMS|CinepolisMotTrivandrum",Tamil,09:45,Executive,₹220,136,6
Kerala,Trivandrum,"BMS|CinepolisMotTrivandrum",Tamil,09:45,Premium,₹240,137,4
Kerala,Kochi,"BMS|CinepolisVipCentreSquareMallKochi",Malayalam,09:50,VipExecutive,₹350,24,0
Kerala,Kochi,"BMS|CinepolisVipCentreSquareMallKochi",Malayalam,09:50,VipPremium,₹400,62,16
Kerala,Kochi,"BMS|CinepolisCentreSquareMallKochi",Malayalam,09:50,Normal,₹110,34,3
Kerala,Kochi,"BMS|CinepolisCentreSquareMallKochi",Malayalam,09:50,Executive,₹140,70,8
Kerala,Kochi,"BMS|CinepolisCentreSquareMallKochi",Malayalam,09:50,Premium,₹160,177,55
Kerala,Ettumanoor,"BMS|UgmCinemasEttumanoor",Malayalam,10:00,Platinum,₹250,19,0
Kerala,Ettumanoor,"BMS|UgmCinemasEttumanoor",Malayalam,10:00,Gold,₹150,248,3
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Tamil,10:00,Normal,₹220,29,4
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Tamil,10:00,Executive,₹240,83,10
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Tamil,10:00,Premium,₹260,44,0
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Malayalam,10:00,Normal,₹200,38,12
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Malayalam,10:00,Executive,₹220,69,8
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Malayalam,10:00,Premium,₹240,56,0
Kerala,Kottayam,"BMS|AnandTheatreTripleBeam3DKottayam",Malayalam,10:00,Platinum3D,₹190,105,23
Kerala,Kottayam,"BMS|AnandTheatreTripleBeam3DKottayam",Malayalam,10:00,Gold3D,₹160,310,25
Kerala,Kottayam,"BMS|AnandTheatreTripleBeam3DKottayam",Malayalam,10:00,Silver3D,₹140,110,0
Kerala,Kochi,"BMS|PvrForumMallKochi",Tamil,10:00,Recliner,₹430,13,4
Kerala,Kochi,"BMS|PvrForumMallKochi",Tamil,10:00,Elite,₹220,218,6
Kerala,Kochi,"BMS|PvrForumMallKochi",Tamil,10:00,Prime,₹210,60,0
Kerala,Kochi,"BMS|PvrForumMallKochi",Tamil,10:00,Classic,₹200,40,0
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Malayalam,10:00,Recliner,₹400,23,4
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Malayalam,10:00,Premium,₹180,88,5
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Malayalam,10:00,Executive,₹100,17,8
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Malayalam,10:00,Lounger,₹200,14,0
Kerala,Kakkattil,"PTM|BmCinemasKakkattil",Malayalam,10:00,Executive3DChargesInclusive,₹130,227,0
Kerala,Kottakkal,"PTM|SangeethLumiereDolbyAtmosKottakkal",Malayalam,10:00,Executive,₹110,443,9
Kerala,Kozhikode,"BMS|ArcCoronation4KDolbyAtmos",Malayalam,10:00,Sofa3D,₹290,46,0
Kerala,Kozhikode,"BMS|ArcCoronation4KDolbyAtmos",Malayalam,10:00,Elite3D,₹200,180,38
Kerala,Kollam,"BMS|RevathyCinemaxRgbRealLaserParippally",Malayalam,10:00,Platinum3D,₹280,65,11
