City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Trivandrum,ArtechCinemasTrivandrum,Tamil,10:00,Platinum,₹210,106,3
Trivandrum,ArtechCinemasTrivandrum,Tamil,10:00,Silver,₹190,90,2
Ernakulam,MyCinemasKsrtComplexAngamalyKerala,Tamil,10:10,GoldOffline,₹150,203,27
Trivandrum,GreenfieldMoviemaxCinemasTrivandrum,Tamil,10:20,Executive,₹150,132,3
Kollam,MyCinemasHJComplexKarunagapally,Tamil,10:30,ClassicOffline,₹150,118,0
Kannur,SumangaliCinemasAnnurRoad,Tamil,10:30,PlatinumCircle,₹130,161,0
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Tamil,10:45,Recliner,₹400,27,1
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Tamil,10:45,Premium,₹180,146,0
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Tamil,10:45,Executive,₹100,25,0
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Tamil,10:45,Lounger,₹200,22,0
Ernakulam,GCinemasFortKochi4KDolbyAtmos,Tamil,11:00,Gold,₹150,182,3
Trivandrum,SreeKaleeswarySreeSaraswathy2K3DKaliyikkav,Tamil,11:00,RoyalCircle,₹150,87,4
Kozhikode,AshokCnc4KDolbyAtmosTrippleBeam3DVadakara,Tamil,11:00,Platinum,₹129.8,120,2
Palakkad,JayabharathTheatreVadakkencherry,Tamil,11:15,FirstClass,₹120,175,106
Trivandrum,AriesplexSlCinemasCinionicDolbyAtmosTrivandrum,Tamil,11:30,Gold,₹150,51,0
Trivandrum,AriesplexSlCinemasCinionicDolbyAtmosTrivandrum,Tamil,11:30,Executive,₹130,152,0
Ernakulam,PvrOberonMallKochi,Tamil,12:35,ClassicPlus,₹170,104,46
Ernakulam,PvrOberonMallKochi,Tamil,12:35,Classic,₹150,54,0
Alappuzha,PanCinemasAlappuzha,Tamil,12:55,Platinum,₹250,37,0
Alappuzha,PanCinemasAlappuzha,Tamil,12:55,Gold,₹180,136,0
Kozhikode,AshokCnc4KDolbyAtmosTrippleBeam3DVadakara,Tamil,13:30,Platinum,₹129.8,120,8
Kannur,SumangaliCinemasAnnurRoad,Tamil,13:30,PlatinumCircle,₹130,161,0
Kasaragod,MagicFramesMehboobTheatreComplex4KKasaragod,Tamil,13:30,Executive,₹129.7,175,175
Palakkad,SathyaMovieHouse3DDolbyAtmosPalakkad,Tamil,14:00,FirstClass,₹129,527,29
Trivandrum,PvrLuluTrivandrum,Tamil,14:00,Recliner,₹400,8,8
Trivandrum,PvrLuluTrivandrum,Tamil,14:00,Prime,₹210,39,39
Trivandrum,PvrLuluTrivandrum,Tamil,14:00,Classic,₹190,60,39
Palakkad,RavirajComplexACKozhinjampara,Tamil,14:00,FirstClass,₹110,172,81
Ernakulam,LakshmiCinemasCantonMallMuvattupuzha,Tamil,14:15,Gold,₹150,121,4
Trivandrum,SreeKaleeswarySreeSaraswathy2K3DKaliyikkav,Tamil,14:30,RoyalCircle,₹150,87,8
Palakkad,JayabharathTheatreVadakkencherry,Tamil,14:30,FirstClass,₹120,175,106
Ernakulam,Kanoos2KRavipuram,Tamil,15:00,Diamond,₹110,186,1
Ernakulam,PvrForumMallKochi,Tamil,15:25,Recliner,₹500,8,0
Ernakulam,PvrForumMallKochi,Tamil,15:25,Elite,₹230,111,46
Ernakulam,PvrForumMallKochi,Tamil,15:25,Classic,₹210,28,0
Kozhikode,CinepolisGokulamGalleriaMall,Tamil,16:10,Normal,₹200,38,4
Kozhikode,CinepolisGokulamGalleriaMall,Tamil,16:10,Executive,₹220,69,20
Kozhikode,CinepolisGokulamGalleriaMall,Tamil,16:10,Premium,₹240,56,14
Trivandrum,GreenfieldMoviemaxCinemasTrivandrum,Tamil,16:30,Executive,₹150,132,23
Ernakulam,CinepolisCentreSquareMallKochi,Tamil,16:30,Normal,₹140,20,4
Ernakulam,CinepolisCentreSquareMallKochi,Tamil,16:30,Executive,₹160,43,38
Ernakulam,CinepolisCentreSquareMallKochi,Tamil,16:30,Premium,₹190,44,28
Kasaragod,MagicFramesMehboobTheatreComplex4KKasaragod,Tamil,16:30,Executive,₹129.7,175,0
Palakkad,RavirajComplexACKozhinjampara,Tamil,18:00,FirstClass,₹110,172,88
Kottayam,DhanyaRemyaKottayam,Tamil,18:15,Remya,₹135,251,12
Trivandrum,SreeKaleeswarySreeSaraswathy2K3DKaliyikkav,Tamil,18:15,RoyalCircle,₹150,87,2
Palakkad,SathyaMovieHouse3DDolbyAtmosPalakkad,Tamil,18:30,FirstClass,₹129,527,8
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Tamil,18:30,Recliner,₹450,29,0
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Tamil,18:30,Premium,₹220,135,1
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Tamil,18:30,Executive,₹150,27,1
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Tamil,18:30,Lounger,₹250,24,1
Malappuram,PopularParadise2KDolbyAtmos,Tamil,18:30,DiamondCircle,₹110,352,2
Trivandrum,CinepolisMotTrivandrum,Tamil,19:35,Normal,₹180,36,0
Trivandrum,CinepolisMotTrivandrum,Tamil,19:35,Executive,₹200,90,13
Trivandrum,CinepolisMotTrivandrum,Tamil,19:35,Premium,₹220,67,16
Ernakulam,PvrLuluKochi,Tamil,19:35,Recliner,₹350,10,3
Ernakulam,PvrLuluKochi,Tamil,19:35,Prime,₹210,68,39
Ernakulam,PvrLuluKochi,Tamil,19:35,ClassicPlus,₹180,91,63
Ernakulam,PvrLuluKochi,Tamil,19:35,Classic,₹140,39,4
Kottayam,DhanyaRemyaKottayam,Tamil,21:00,Remya,₹135,251,0
Palakkad,RavirajComplexACKozhinjampara,Tamil,21:00,FirstClass,₹110,172,77
Malappuram,PopularFilmCityACPerinthalmannaRoad,Tamil,21:30,DiamondCircle,₹110,352,0
Trivandrum,SreeKaleeswarySreeSaraswathy2K3DKaliyikkav,Tamil,21:45,RoyalCircle,₹150,87,2
Ernakulam,Kanoos2KRavipuram,Tamil,21:50,Diamond,₹110,186,0
Thrissur,InoxSobhaCityMall,Tamil,22:00,RoyalRecliner,₹360,10,0
Thrissur,InoxSobhaCityMall,Tamil,22:00,Club,₹200,66,0
Thrissur,InoxSobhaCityMall,Tamil,22:00,Royal,₹200,28,10
Thrissur,InoxSobhaCityMall,Tamil,22:00,Executive,₹140,22,5
Trivandrum,AriesplexSlCinemasCinionicDolbyAtmosTrivandrum,Tamil,22:00,Executive,₹110,70,0
Trivandrum,ArtechCinemasTrivandrum,Tamil,22:00,Platinum,₹210,106,9
Trivandrum,ArtechCinemasTrivandrum,Tamil,22:00,Silver,₹190,90,3
Trivandrum,AriesplexSlCinemasCinionicDolbyAtmosTrivandrum,Tamil,22:00,Gold,₹150,51,5
Trivandrum,AriesplexSlCinemasCinionicDolbyAtmosTrivandrum,Tamil,22:00,Executive,₹130,152,1
Ernakulam,GCinemasFortKochi4KDolbyAtmos,Tamil,23:00,Gold,₹150,182,0
