City,Time(IST),Name,Area,Price,Capacity,Booked,Language,Format
Palakkad,18:30,CKMVictoryCinemasPeringottukurissi,Sofa,₹180,12,12,English,2D
Palakkad,18:30,CKMVictoryCinemasPeringottukurissi,Standard,₹129.8,112,112,English,2D
Ernakulam,19:15,AashirvadCineplexxGrandCentreMallMuvattupuzha,Recliner,₹350,8,0,English,2D
Ernakulam,19:15,AashirvadCineplexxGrandCentreMallMuvattupuzha,Platinum,₹200,27,0,English,2D
Ernakulam,19:15,AashirvadCineplexxGrandCentreMallMuvattupuzha,Gold,₹180,63,0,English,2D
Trivandrum,19:30,GreenfieldMoviemaxCinemasTrivandrum,Executive,₹160,119,0,English,2D
Kannur,19:45,AlinkeelCinemas2KAtmos71Taliparamba,Reserved,₹129.8,190,1,English,2D
Wayanad,20:30,MaruthiCinemasSSCinemaz4KMananthavady,Sofa,₹150,30,0,English,2D
Wayanad,20:30,MaruthiCinemasSSCinemaz4KMananthavady,Executive,₹129.8,149,1,English,2D
Malappuram,20:45,LadderCinemasManjeri,Executive,₹150,80,0,English,2D
Trivandrum,21:15,SuryaMultiplex4KDolbyAtmosNedumangad,Platinum,₹250,14,0,English,2D
Trivandrum,21:15,SuryaMultiplex4KDolbyAtmosNedumangad,Gold,₹150,131,0,English,2D
Kollam,21:30,DevaCarnivalCinemasDMallPunalur,Recliner,₹290,17,3,English,2D
Kollam,21:30,DevaCarnivalCinemasDMallPunalur,Silver,₹129.7,210,0,English,2D
Trivandrum,21:30,SreeKaleeswarySreeSaraswathy2K3DKaliyikkav,RoyalCircle,₹150,87,7,Tamil,2D
Trivandrum,22:00,GreenfieldMoviemaxCinemasTrivandrum,Executive,₹160,119,0,English,2D
Ernakulam,22:00,ZeenathTheatre2KACAluva,Balcony,₹170,55,13,English,2D
Ernakulam,22:00,ZeenathTheatre2KACAluva,EmeraldRing,₹130,124,7,English,2D
Alappuzha,12:00,AECCinemas4KATMOS360SurroundAlappuzha,Silver,₹150,95,0,English,2D
Alappuzha,12:00,AECCinemas4KATMOS360SurroundAlappuzha,Gold,₹180,195,0,English,2D
Alappuzha,12:00,AECCinemas4KATMOS360SurroundAlappuzha,Platinum,₹250,31,0,English,2D
Palakkad,14:00,CowmalyaTheatreKozhinjampara,Gold,₹129.8,460,11,English,2D
Malappuram,14:30,AiswaryaMoviesAC4KDolby3DBiyyamPonnani,Platinum,₹105,205,1,English,2D
Malappuram,14:30,AiswaryaMoviesAC4KDolby3DBiyyamPonnani,Executive,₹129.8,105,0,English,2D
Palakkad,14:30,JayabharathTheatreKarayankaduVadakkencherry,Screen1,₹105,277,0,English,2D
Alappuzha,15:00,AECCinemas4KATMOS360SurroundAlappuzha,Silver,₹150,95,0,English,2D
Alappuzha,15:00,AECCinemas4KATMOS360SurroundAlappuzha,Gold,₹180,195,0,English,2D
Alappuzha,15:00,AECCinemas4KATMOS360SurroundAlappuzha,Platinum,₹250,31,0,English,2D
Alappuzha,18:00,AECCinemas4KATMOS360SurroundAlappuzha,Silver,₹150,95,0,English,2D
Alappuzha,18:00,AECCinemas4KATMOS360SurroundAlappuzha,Gold,₹180,195,0,English,2D
Alappuzha,18:00,AECCinemas4KATMOS360SurroundAlappuzha,Platinum,₹250,31,0,English,2D
Palakkad,18:00,CowmalyaTheatreKozhinjampara,Gold,₹129.8,460,11,English,2D
Malappuram,18:30,AiswaryaMoviesAC4KDolby3DBiyyamPonnani,Platinum,₹105,205,1,English,2D
Malappuram,18:30,AiswaryaMoviesAC4KDolby3DBiyyamPonnani,Executive,₹129.8,105,0,English,2D
Palakkad,18:30,CityCinema2KACAnaikatti,Premium,₹100,236,0,English,2D
Alappuzha,21:00,AECCinemas4KATMOS360SurroundAlappuzha,Silver,₹150,95,0,English,2D
Alappuzha,21:00,AECCinemas4KATMOS360SurroundAlappuzha,Gold,₹180,195,0,English,2D
Alappuzha,21:00,AECCinemas4KATMOS360SurroundAlappuzha,Platinum,₹250,31,0,English,2D
Malappuram,21:30,AiswaryaMoviesAC4KDolby3DBiyyamPonnani,Platinum,₹105,205,1,English,2D
Malappuram,21:30,AiswaryaMoviesAC4KDolby3DBiyyamPonnani,Executive,₹129.8,105,0,English,2D
Palakkad,21:30,CityCinema2KACAnaikatti,Premium,₹100,236,0,English,2D
