District,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kannur,CrownCinema2KDolbyTaliparamba,Malayalam,10:30,Crown,₹130,201,3
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:30,Normal,₹200,38,11
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:30,Executive,₹220,69,18
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:30,Premium,₹240,57,7
Kollam,MyCinemasRpMallKollamKerala,Malayalam,10:30,PremiumOffline,₹180,108,18
Trivandrum,CinepolisMotTrivandrum,Malayalam,10:30,Normal,₹100,32,0
Trivandrum,CinepolisMotTrivandrum,Malayalam,10:30,Executive,₹100,128,0
Trivandrum,CinepolisMotTrivandrum,Malayalam,10:30,Premium,₹100,76,10
Trivandrum,CinepolisMotTrivandrum,Malayalam,10:30,Vip,₹200,12,12
Ernakulam,PvrLuluKochi,Malayalam,10:55,Recliner,₹300,9,8
Ernakulam,PvrLuluKochi,Malayalam,10:55,Prime,₹160,64,31
Ernakulam,PvrLuluKochi,Malayalam,10:55,ClassicPlus,₹140,91,10
Ernakulam,PvrLuluKochi,Malayalam,10:55,Classic,₹110,39,0
Thrissur,InoxSobhaCityMall,Malayalam,10:55,RoyalRecliner,₹200,10,5
Thrissur,InoxSobhaCityMall,Malayalam,10:55,Club,₹130,155,1
Thrissur,InoxSobhaCityMall,Malayalam,10:55,Royal,₹130,32,28
Thrissur,InoxSobhaCityMall,Malayalam,10:55,Executive,₹100,26,1
Malappuram,AiswaryaMoviesAC4KDolby3DPonnani,Malayalam,11:00,Platinum,₹110,344,65
Ernakulam,DreambigJawaharCinemasKalady,Malayalam,11:00,Sofa,₹180,14,0
Ernakulam,DreambigJawaharCinemasKalady,Malayalam,11:00,Gold,₹160,40,0
Ernakulam,DreambigJawaharCinemasKalady,Malayalam,11:00,Silver,₹129,180,0
Kottayam,AnuAbhinayaCineplex4KDolby71Changanassery,Malayalam,11:00,Platinum,₹140,90,2
Kottayam,AnuAbhinayaCineplex4KDolby71Changanassery,Malayalam,11:00,Gold,₹130,160,0
Kottayam,AnuAbhinayaCineplex4KDolby71Changanassery,Malayalam,11:00,Silver,₹110,40,0
Ernakulam,PvrForumMallKochi,Malayalam,11:00,Recliner,₹350,10,2
Ernakulam,PvrForumMallKochi,Malayalam,11:00,Elite,₹170,94,38
Ernakulam,PvrForumMallKochi,Malayalam,11:00,Prime,₹160,48,3
Ernakulam,PvrForumMallKochi,Malayalam,11:00,Classic,₹150,32,0
Kottayam,AbhilashTheatre4KKottayam,Malayalam,11:00,Royal,₹180,16,5
Kottayam,AbhilashTheatre4KKottayam,Malayalam,11:00,Platinum,₹150,252,0
Kottayam,AbhilashTheatre4KKottayam,Malayalam,11:00,Gold,₹130,413,0
Kottayam,AbhilashTheatre4KKottayam,Malayalam,11:00,Silver,₹110,54,0
Kannur,AuraCinemasMattannur,Malayalam,11:00,Executive,₹130,137,0
Trivandrum,PvrLuluTrivandrum,Malayalam,11:10,Recliner,₹300,7,5
Trivandrum,PvrLuluTrivandrum,Malayalam,11:10,Prime,₹160,68,21
Trivandrum,PvrLuluTrivandrum,Malayalam,11:10,Classic,₹140,104,2
Kollam,MyCinemasHJComplexKarunagapally,Malayalam,11:10,ClassicOffline,₹110,194,0
Trivandrum,KairaliSreeNilaRgbLaser4KDolbyAtmos,Malayalam,11:15,Platinum,₹125,310,4
Trivandrum,KalabhavanTheatreTripleBeam3DTrivandrum,Malayalam,11:30,Platinum,₹125,135,72
Trivandrum,KalabhavanTheatreTripleBeam3DTrivandrum,Malayalam,11:30,Gold,₹105,275,65
Thrissur,ShadowCinemasPazhayannur,Malayalam,11:30,Platinum,₹200,15,2
