District,Name,Language,Time(IST),Area,Price,Capacity,Booked
Trivandrum,CinepolisMotTrivandrum,Malayalam,10:20,Normal,₹180,32,0
Trivandrum,CinepolisMotTrivandrum,Malayalam,10:20,Executive,₹200,128,1
Trivandrum,CinepolisMotTrivandrum,Malayalam,10:20,Premium,₹220,76,12
Trivandrum,CinepolisMotTrivandrum,Malayalam,10:20,Vip,₹400,12,12
Kannur,CrownCinema2KDolbyTaliparamba,Malayalam,10:30,Crown,₹130,201,5
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:30,Normal,₹200,38,8
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:30,Executive,₹220,69,18
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:30,Premium,₹240,57,7
Kollam,MyCinemasRpMallKollamKerala,Malayalam,10:30,PremiumOffline,₹180,108,20
Ernakulam,PvrLuluKochi,Malayalam,10:55,Recliner,₹199,9,8
Ernakulam,PvrLuluKochi,Malayalam,10:55,Classic,₹99,39,0
Ernakulam,PvrLuluKochi,Malayalam,10:55,ClassicPlus,₹99,91,8
Ernakulam,PvrLuluKochi,Malayalam,10:55,Prime,₹99,64,27
Thrissur,InoxSobhaCityMall,Malayalam,10:55,RoyalRecliner,₹199,10,2
Thrissur,InoxSobhaCityMall,Malayalam,10:55,Club,₹99,155,3
Thrissur,InoxSobhaCityMall,Malayalam,10:55,Executive,₹99,26,0
Thrissur,InoxSobhaCityMall,Malayalam,10:55,Royal,₹99,32,28
Malappuram,AiswaryaMoviesAC4KDolby3DPonnani,Malayalam,11:00,Platinum,₹110,344,65
Trivandrum,CinepolisMotTrivandrum,Malayalam,11:00,Normal,₹180,32,0
Trivandrum,CinepolisMotTrivandrum,Malayalam,11:00,Executive,₹200,128,0
Trivandrum,CinepolisMotTrivandrum,Malayalam,11:00,Premium,₹220,76,10
Trivandrum,CinepolisMotTrivandrum,Malayalam,11:00,Vip,₹400,12,12
Ernakulam,DreambigJawaharCinemasKalady,Malayalam,11:00,Sofa,₹180,14,2
Ernakulam,DreambigJawaharCinemasKalady,Malayalam,11:00,Gold,₹160,40,0
Ernakulam,DreambigJawaharCinemasKalady,Malayalam,11:00,Silver,₹129,180,0
Ernakulam,PvrForumMallKochi,Malayalam,11:00,Recliner,₹199,10,2
Ernakulam,PvrForumMallKochi,Malayalam,11:00,Classic,₹99,32,0
Ernakulam,PvrForumMallKochi,Malayalam,11:00,Elite,₹99,94,17
Ernakulam,PvrForumMallKochi,Malayalam,11:00,Prime,₹99,48,0
Kottayam,AbhilashTheatre4KKottayam,Malayalam,11:00,Royal,₹180,16,3
Kottayam,AbhilashTheatre4KKottayam,Malayalam,11:00,Platinum,₹150,252,14
Kottayam,AbhilashTheatre4KKottayam,Malayalam,11:00,Gold,₹130,413,2
Kottayam,AbhilashTheatre4KKottayam,Malayalam,11:00,Silver,₹110,54,0
Kottayam,AnuAbhinayaCineplex4KDolby71Changanassery,Malayalam,11:00,Platinum,₹140,90,12
Kottayam,AnuAbhinayaCineplex4KDolby71Changanassery,Malayalam,11:00,Gold,₹130,160,3
Kottayam,AnuAbhinayaCineplex4KDolby71Changanassery,Malayalam,11:00,Silver,₹110,40,0
Wayanad,MintCinemasAC2K3DSulthanBathery,Malayalam,11:00,Platinum,₹129.7,74,0
Wayanad,MintCinemasAC2K3DSulthanBathery,Malayalam,11:00,Gold,₹110,107,0
Kannur,AuraCinemasMattannur,Malayalam,11:00,Executive,₹130,137,2
Trivandrum,PvrLuluTrivandrum,Malayalam,11:10,Recliner,₹199,7,4
Trivandrum,PvrLuluTrivandrum,Malayalam,11:10,Classic,₹99,104,0
Trivandrum,PvrLuluTrivandrum,Malayalam,11:10,Prime,₹99,68,18
Kollam,MyCinemasHJComplexKarunagapally,Malayalam,11:10,ClassicOffline,₹110,194,9
Trivandrum,KairaliSreeNilaRgbLaser4KDolbyAtmos,Malayalam,11:15,Platinum,₹125,310,6
Thrissur,ShadowCinemasPazhayannur,Malayalam,11:30,Platinum,₹200,15,0
Thrissur,ShadowCinemasPazhayannur,Malayalam,11:30,Gold,₹140,228,2
Trivandrum,KalabhavanTheatreTripleBeam3DTrivandrum,Malayalam,11:30,Platinum,₹125,135,59
Trivandrum,KalabhavanTheatreTripleBeam3DTrivandrum,Malayalam,11:30,Gold,₹105,275,63
Kollam,DevaCarnivalCinemasDMallPunalur,Malayalam,11:30,Recliner,₹290,17,3
Kollam,DevaCarnivalCinemasDMallPunalur,Malayalam,11:30,Silver,₹129.7,215,25
Idukki,GCinemaxMultiplex,Malayalam,11:45,Audi2,₹150,155,2
Kottayam,AnchaniCinemas4KDolbyAtmosPallickathodu,Malayalam,12:00,Platinum,₹250,12,0
Kottayam,AnchaniCinemas4KDolbyAtmosPallickathodu,Malayalam,12:00,Gold,₹150,117,0
Kollam,LmCinemas4K3DDolby71Chathannoor,Malayalam,12:00,Audi2,₹170,101,0
Thrissur,GanamCinemasThrissur,Malayalam,12:00,BlueCircle,₹120,340,0
Ernakulam,VCinema,Malayalam,12:00,Gold,₹170,46,0
Ernakulam,VCinema,Malayalam,12:00,Silver,₹150,104,0
Thrissur,JosTheatre4KRgbLaserAtmosThrissur,Malayalam,12:00,Sofa,₹230,18,0
Thrissur,JosTheatre4KRgbLaserAtmosThrissur,Malayalam,12:00,Club,₹150,282,30
Ernakulam,ZeenathTheatre2KACAluva,Malayalam,12:15,Balcony,₹170,55,17
Ernakulam,ZeenathTheatre2KACAluva,Malayalam,12:15,EmeraldRing,₹130,124,11
Kottayam,MyCinemasThalayolaparambuKerala,Malayalam,13:00,Gold,₹110,144,3
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,13:10,Normal,₹200,38,8
