District,Name,Language,Time(IST),Area,Price,Capacity,Booked
Malappuram,VismayaCinemas4KDolbyAtmosPerinthalmanna,Malayalam,10:00,Platinum,₹100,111,12
Kasaragod,MoviemaxCircleKasaragod,Malayalam,10:30,Max3,₹129.8,289,4
Kasaragod,DeepthiCinemasAC2KDolbyAtmosKanhangad,Malayalam,10:30,Gold,₹150,204,17
Kannur,SumangaliCinemasAnnurRoad,Malayalam,10:30,DiamondCircle,₹130,141,0
Kannur,AlinkeelCinemas2KAtmos71Taliparamba,Malayalam,10:45,Reserved,₹129.8,190,0
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,10:50,Normal,₹110,30,6
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,10:50,Executive,₹140,45,1
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,10:50,Premium,₹160,95,18
Trivandrum,CinepolisMotTrivandrum,Malayalam,10:50,VipExecutive,₹350,18,3
Trivandrum,CinepolisMotTrivandrum,Malayalam,10:50,VipPremium,₹400,18,9
Kozhikode,One2OnePlusFilmCity4K3DDolbyAtmosVadakara,Malayalam,11:00,Screen2,₹129.8,164,0
Palakkad,AlexMoviesPattambi,Malayalam,11:00,AnnSquare,₹110,243,0
Palakkad,AromaScreen2Palakkad,Malayalam,11:15,KingCircle,₹129,235,0
Ernakulam,MyCinemasKsrtComplexAngamalyKerala,Malayalam,11:15,GoldOffline,₹100,202,0
Trivandrum,SwaramLayamCinemasKattakada,Malayalam,11:30,Swaram,₹129.8,193,0
Kollam,RevathyCinemaxRgbRealLaserParippally,Malayalam,11:30,Platinum,₹250,28,28
Kollam,RevathyCinemaxRgbRealLaserParippally,Malayalam,11:30,Gold,₹150,181,181
Wayanad,MaruthiECinemas4KAtmosMananthavady,Malayalam,11:30,Sofa,₹140,30,0
Wayanad,MaruthiECinemas4KAtmosMananthavady,Malayalam,11:30,Executive,₹110,149,0
Palakkad,LadderCinemasOttapalam,Malayalam,11:30,Executive,₹150,214,0
Ernakulam,AashirvadCineplexxGrandCentreMallMuvattupuzha,Malayalam,11:30,Recliner,₹310,11,0
Ernakulam,AashirvadCineplexxGrandCentreMallMuvattupuzha,Malayalam,11:30,Platinum,₹180,39,0
Ernakulam,AashirvadCineplexxGrandCentreMallMuvattupuzha,Malayalam,11:30,Gold,₹160,105,0
Kannur,LibertyParadiseThalassery,Malayalam,11:30,Gold,₹129.8,214,143
Thrissur,InoxSobhaCityMall,Malayalam,11:50,RoyalRecliner,₹200,10,6
Thrissur,InoxSobhaCityMall,Malayalam,11:50,Club,₹130,66,2
Thrissur,InoxSobhaCityMall,Malayalam,11:50,Royal,₹130,28,21
Thrissur,InoxSobhaCityMall,Malayalam,11:50,Executive,₹100,22,1
Trivandrum,PvrLuluTrivandrum,Malayalam,11:50,Recliner,₹300,8,0
Trivandrum,PvrLuluTrivandrum,Malayalam,11:50,Prime,₹160,84,8
Trivandrum,PvrLuluTrivandrum,Malayalam,11:50,Classic,₹140,88,1
Malappuram,LadderCinemasIndianMall,Malayalam,12:00,Executive,₹150,74,3
Thrissur,MasMoviesIrinjalakuda,Malayalam,12:00,Silver,₹129,207,0
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Malayalam,12:25,Silver,₹200,28,0
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Malayalam,12:25,Gold,₹220,84,2
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Malayalam,12:25,Platinum,₹240,42,3
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Malayalam,12:25,Recliner,₹400,12,0
Malappuram,VismayaCinemas4KDolbyAtmosPerinthalmanna,Malayalam,13:00,Platinum,₹100,151,23
Malappuram,LeenaTheatre4K3DDolbyAtmosKottakkal,Malayalam,13:00,Executive,₹129.8,309,0
Kozhikode,One2OnePlusFilmCity4K3DDolbyAtmosVadakara,Malayalam,13:30,Screen2,₹129.8,164,0
Kasaragod,MoviemaxCircleKasaragod,Malayalam,13:30,Max3,₹129.8,289,11
Ernakulam,PvrOberonMallKochi,Malayalam,13:30,ClassicPlus,₹150,141,22
Ernakulam,PvrOberonMallKochi,Malayalam,13:30,Classic,₹120,36,0
Kasaragod,KaveriCinemasACDtsDolbyKarmamthody,Malayalam,13:30,Standard,₹110,145,0
Kannur,SumangaliCinemasAnnurRoad,Malayalam,13:30,DiamondCircle,₹130,141,0
Kannur,AlinkeelCinemas2KAtmos71Taliparamba,Malayalam,13:45,Reserved,₹129.8,190,0
Ernakulam,PvrForumMallKochi,Malayalam,13:45,Recliner,₹350,10,5
Ernakulam,PvrForumMallKochi,Malayalam,13:45,Elite,₹170,94,18
Ernakulam,PvrForumMallKochi,Malayalam,13:45,Prime,₹160,48,0
Ernakulam,PvrForumMallKochi,Malayalam,13:45,Classic,₹150,32,0
Trivandrum,PvrLuluTrivandrum,Malayalam,14:00,LuxePrime,₹400,18,1
Trivandrum,PvrLuluTrivandrum,Malayalam,14:00,Luxe,₹300,24,2
Trivandrum,AriesplexSlCinemasCinionicDolbyAtmosTrivandrum,Malayalam,14:00,Gold,₹150,66,15
