State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Malayalam,10:00,Recliner,₹300,29,0
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Malayalam,10:00,Premium,₹150,135,1
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Malayalam,10:00,Executive,₹100,27,1
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Malayalam,10:00,Lounger,₹180,24,1
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Malayalam,10:00,Recliner,₹300,27,1
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Malayalam,10:00,Premium,₹150,146,11
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Malayalam,10:00,Executive,₹100,25,2
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Malayalam,10:00,Lounger,₹180,22,0
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Malayalam,10:10,Normal,₹200,38,12
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Malayalam,10:10,Executive,₹220,69,6
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Malayalam,10:10,Premium,₹240,56,2
Kerala,Edacheri,"PTM|VeecheeCinemasAC2K3DEdacheri",Malayalam,10:30,Executive,₹100,184,0
Kerala,Kasaragod,"BMS|MagicFramesMehboobTheatreComplex4KKasaragod",Malayalam,10:30,Executive,₹129.7,258,3
Kerala,Payyanur,"BMS|ShanthiCinemasPayyanur",Malayalam,10:30,Platinum,₹130,314,1
Kerala,Kadalundi,"BMS|ChithraCineplex4KDtsXKozhikodeMannurValavu",Malayalam,10:30,Sofa,₹200,21,0
Kerala,Kadalundi,"BMS|ChithraCineplex4KDtsXKozhikodeMannurValavu",Malayalam,10:30,Gold,₹129.8,220,4
Kerala,Kollam,"BMS|MyCinemasRpMallKollamKerala",Malayalam,10:45,PremiumOffline,₹180,108,20
Kerala,Kochi,"BMS|PvrLuluKochi",Malayalam,10:55,Recliner,₹300,9,1
Kerala,Kochi,"BMS|PvrLuluKochi",Malayalam,10:55,Prime,₹160,64,17
Kerala,Kochi,"BMS|PvrLuluKochi",Malayalam,10:55,ClassicPlus,₹140,91,26
Kerala,Kochi,"BMS|PvrLuluKochi",Malayalam,10:55,Classic,₹110,39,1
Kerala,Vadakara,"BMS|One2OnePlusFilmCity4K3DDolbyAtmosVadakara",Malayalam,11:00,Screen2,₹129.8,164,0
Kerala,Pathanamthitta,"BMS|SreelakshmiTheatreRanni",Malayalam,11:00,GoldClass,₹110,206,0
Kerala,Pathanamthitta,"BMS|SCinemasKonni",Malayalam,11:00,Platinum,₹150,81,20
Kerala,Pathanamthitta,"BMS|SCinemasKonni",Malayalam,11:00,Gold,₹110,368,12
Kerala,Kochi,"BMS|GCinemasFortKochi4KDolbyAtmos",Malayalam,11:00,Luxury,₹250,18,0
Kerala,Kochi,"BMS|GCinemasFortKochi4KDolbyAtmos",Malayalam,11:00,Gold,₹150,279,0
Kerala,Trivandrum,"BMS|ArtechCinemasTrivandrum",Malayalam,11:00,Gold,₹300,13,0
Kerala,Trivandrum,"BMS|ArtechCinemasTrivandrum",Malayalam,11:00,Platinum,₹180,112,6
Kerala,Trivandrum,"BMS|ArtechCinemasTrivandrum",Malayalam,11:00,Silver,₹160,68,0
Kerala,Kozhikode,"BMS|MirajCinemasBlueDiamondMallCalicut",Malayalam,11:00,Silver,₹180,26,0
Kerala,Kozhikode,"BMS|MirajCinemasBlueDiamondMallCalicut",Malayalam,11:00,Gold,₹200,65,2
Kerala,Kozhikode,"BMS|MirajCinemasBlueDiamondMallCalicut",Malayalam,11:00,Platinum,₹220,40,3
Kerala,SultanBathery,"PTM|AiswaryaAthulyaAiswaryaCineplexSulthanBathery",Malayalam,11:00,Recliner,₹250,9,0
Kerala,SultanBathery,"PTM|AiswaryaAthulyaAiswaryaCineplexSulthanBathery",Malayalam,11:00,PlatinumClass,₹112,156,0
Kerala,Pandalam,"BMS|ThrilokCinemasPandalam",Malayalam,11:00,ExecutiveClass,₹160,31,0
Kerala,Pandalam,"BMS|ThrilokCinemasPandalam",Malayalam,11:00,ExecutiveClass1,₹150,127,0
Kerala,Alappuzha,"BMS|KairaliSreeTheaterAlappuzha",Malayalam,11:00,Platinum,₹125,305,0
Kerala,Thalassery,"BMS|MagicFramesDowntownMallThalassery",Malayalam,11:00,Gold,₹140,131,8
Kerala,Kottayam,"BMS|AnupamaTheatreDolby71Kottayam",Malayalam,11:00,PremiumBalcony,₹140,149,8
Kerala,Kottayam,"BMS|AnupamaTheatreDolby71Kottayam",Malayalam,11:00,UpperCircle,₹100,473,0
Kerala,Kottayam,"BMS|AnupamaTheatreDolby71Kottayam",Malayalam,11:00,Circle,₹110,194,194
Kerala,Changanassery,"BMS|ApsaraTheatreDolby71Changanassery",Malayalam,11:00,KingsLounge,₹112,115,0
Kerala,Changanassery,"BMS|ApsaraTheatreDolby71Changanassery",Malayalam,11:00,RoyalLounge,₹140,160,0
Kerala,Changanassery,"BMS|ApsaraTheatreDolby71Changanassery",Malayalam,11:00,PrinceLounge,₹100,268,0
Kerala,Trivandrum,"BMS|PvrLuluTrivandrum",Malayalam,11:05,LuxePrime,₹400,18,13
Kerala,Trivandrum,"BMS|PvrLuluTrivandrum",Malayalam,11:05,Luxe,₹300,24,0
Kerala,Pathanamthitta,"BMS|TrinityMovieMaxPathanamthitta",Malayalam,11:15,Special,₹130,110,18
Kerala,Trivandrum,"BMS|CinepolisMotTrivandrum",Malayalam,11:15,Normal,₹180,32,0
Kerala,Trivandrum,"BMS|CinepolisMotTrivandrum",Malayalam,11:15,Executive,₹200,128,3
Kerala,Trivandrum,"BMS|CinepolisMotTrivandrum",Malayalam,11:15,Premium,₹220,76,9
Kerala,Trivandrum,"BMS|CinepolisMotTrivandrum",Malayalam,11:15,Vip,₹400,12,12
Kerala,Trivandrum,"BMS|GreenfieldMoviemaxCinemasTrivandrum",Malayalam,11:15,Executive,₹150,145,6
Kerala,Kochi,"BMS|PvrForumMallKochi",Malayalam,11:20,Elite,₹170,85,15
Kerala,Kochi,"BMS|PvrForumMallKochi",Malayalam,11:20,Classic,₹150,22,0
Kerala,Kollam,"BMS|RevathyCinemaxRgbRealLaserParippally",Malayalam,11:30,Platinum,₹250,28,0
Kerala,Kollam,"BMS|RevathyCinemaxRgbRealLaserParippally",Malayalam,11:30,Gold,₹150,181,0
Kerala,Palakkad,"PTM|PriyadarsiniCinema",Malayalam,11:30,Executive,₹180,68,0
Kerala,Palakkad,"PTM|PriyadarsiniCinema",Malayalam,11:30,Dress,₹110,368,0
Kerala,Trivandrum,"PTM|AriesplexSlCinemasCinionicDolbyAtmosTrivandrum",Malayalam,11:30,Gold,₹250,14,3
Kerala,Trivandrum,"PTM|AriesplexSlCinemasCinionicDolbyAtmosTrivandrum",Malayalam,11:30,Executive,₹150,185,43
Kerala,Trivandrum,"PTM|AriesplexSlCinemasCinionicDolbyAtmosTrivandrum",Malayalam,11:30,Economy,₹100,21,5
Kerala,Karunagapally,"BMS|MyCinemasHJComplexKarunagapally",Malayalam,11:30,ClassicOffline,₹110,118,5
Kerala,Thrissur,"BMS|DeepaCinema2K111Viyyur",Malayalam,11:30,LuxurySuit,₹250,16,0
Kerala,Thrissur,"BMS|DeepaCinema2K111Viyyur",Malayalam,11:30,Platinum,₹129,296,4
Kerala,Ottapalam,"PTM|LadderCinemasOttapalam",Malayalam,11:30,Executive,₹150,214,1
Kerala,Mananthavady,"BMS|VarnaTheatreMananthavady",Malayalam,11:30,Diamond,₹120,224,0
Kerala,Pala,"BMS|JoSAC2K3D71DolbySoundPala",Malayalam,11:30,RoyalCircle,₹150,286,0
Kerala,Edappal,"BMS|SaradaMoviesEdappal",Malayalam,11:30,Platinum,₹110,270,9
Kerala,Kochi,"BMS|ShenoysKochi",Malayalam,11:45,Diamond,₹180,71,2
Kerala,Irinjalakuda,"PTM|ChembakasseryCinemas4K3DDolbyAtmos",Malayalam,11:45,RoyalCircle,₹129.8,213,0
Kerala,Kunnamangalam,"PTM|MagicFramesCinemas4KDolbyAtmosKunnamangalam",Malayalam,11:45,Gold,₹180,107,3
Kerala,Kottarakara,"PTM|MinervaEmpireCinemazChandamukku",Malayalam,12:00,Executive,₹200,13,0
Kerala,Kottarakara,"PTM|MinervaEmpireCinemazChandamukku",Malayalam,12:00,Diamond,₹129.83,210,1
Kerala,Guruvayur,"PTM|MagicFramesJayashree2K71Guruvayur",Malayalam,12:00,Diamond,₹129.55,171,171
Kerala,Guruvayur,"PTM|MagicFramesJayashree2K71Guruvayur",Malayalam,12:00,Gold,₹110,358,0
Kerala,Kodungallur,"BMS|DCinemaaMughalMallBarco4KLaserKodungallur",Malayalam,12:00,Platinum,₹250,10,0
Kerala,Kodungallur,"BMS|DCinemaaMughalMallBarco4KLaserKodungallur",Malayalam,12:00,Gold,₹150,172,0
Kerala,Guruvayur,"PTM|AppasTheatreGuruvayur",Malayalam,12:00,Gold,₹129.8,160,0
Kerala,Guruvayur,"PTM|AppasTheatreGuruvayur",Malayalam,12:00,Silver,₹110,391,0
Kerala,Kodaly,"BMS|SreedeviSCinemasKodaly",Malayalam,12:00,Royal,₹220,21,0
Kerala,Kodaly,"BMS|SreedeviSCinemasKodaly",Malayalam,12:00,Blue,₹129,132,0
Kerala,Amballur,"PTM|ChandVsreeramaMoviesPudukkad",Malayalam,12:30,Platinum,₹180,25,0
Kerala,Amballur,"PTM|ChandVsreeramaMoviesPudukkad",Malayalam,12:30,Gold,₹129,182,0
Kerala,Manjeri,"PTM|LadderCinemasIndianMall",Malayalam,12:30,Executive,₹150,114,0
Kerala,Kochi,"BMS|CinepolisCentreSquareMallKochi",Malayalam,12:45,Normal,₹140,13,1
Kerala,Kochi,"BMS|CinepolisCentreSquareMallKochi",Malayalam,12:45,Executive,₹160,26,1
Kerala,Kochi,"BMS|CinepolisCentreSquareMallKochi",Malayalam,12:45,Premium,₹190,67,18
Kerala,Kariyad,"BMS|MyCinemasRedCarpetKariyad",Malayalam,13:00,GoldLounge,₹280,32,0
Kerala,Kariyad,"BMS|MyCinemasRedCarpetKariyad",Malayalam,13:00,ExecutiveOffline,₹150,96,2
Kerala,Kochi,"BMS|ShafazLaserGrand4KTheatreNorthParavoor",Malayalam,13:00,BrownSquare,₹120,279,25
Kerala,Kottakkal,"PTM|LeenaTheatre4K3DDolbyAtmosKottakkal",Malayalam,13:00,Executive,₹110,186,6
Kerala,Thrissur,"BMS|InoxSobhaCityMall",Malayalam,13:10,RoyalRecliner,₹290,10,0
Kerala,Thrissur,"BMS|InoxSobhaCityMall",Malayalam,13:10,Club,₹170,155,6
Kerala,Thrissur,"BMS|InoxSobhaCityMall",Malayalam,13:10,Royal,₹170,32,17
Kerala,Thrissur,"BMS|InoxSobhaCityMall",Malayalam,13:10,Executive,₹130,26,1
Kerala,Perinthalmanna,"PTM|VismayaCinemas4KDolbyAtmosPerinthalmanna",Malayalam,13:10,Platinum,₹100,198,30
Kerala,Trivandrum,"BMS|CinepolisMotTrivandrum",Malayalam,13:15,VipExecutive,₹350,18,3
Kerala,Trivandrum,"BMS|CinepolisMotTrivandrum",Malayalam,13:15,VipPremium,₹400,18,2
Kerala,Vadakara,"BMS|One2OnePlusFilmCity4K3DDolbyAtmosVadakara",Malayalam,13:30,Screen2,₹129.8,164,0
Kerala,Trivandrum,"BMS|ArtechCinemasTrivandrum",Malayalam,13:30,Gold,₹300,13,0
Kerala,Trivandrum,"BMS|ArtechCinemasTrivandrum",Malayalam,13:30,Platinum,₹180,112,8
Kerala,Trivandrum,"BMS|ArtechCinemasTrivandrum",Malayalam,13:30,Silver,₹160,68,0
Kerala,Edacheri,"PTM|VeecheeCinemasAC2K3DEdacheri",Malayalam,13:30,Executive,₹100,184,0
Kerala,Angamaly,"BMS|MyCinemasKsrtComplexAngamalyKerala",Malayalam,13:30,GoldOffline,₹130,202,29
Kerala,Kasaragod,"BMS|MagicFramesMehboobTheatreComplex4KKasaragod",Malayalam,13:30,Executive,₹129.7,258,3
Kerala,Payyanur,"BMS|ShanthiCinemasPayyanur",Malayalam,13:30,Platinum,₹130,314,1
Kerala,Kozhikode,"BMS|RegalCinemasKozhikode",Malayalam,13:45,FirstclassSc1,₹200,95,12
Kerala,Kochi,"BMS|CinepolisVipCentreSquareMallKochi",Malayalam,13:45,VipExecutive,₹350,24,0
Kerala,Kochi,"BMS|CinepolisVipCentreSquareMallKochi",Malayalam,13:45,VipPremium,₹400,62,12
Kerala,Kochi,"BMS|PvrOberonMallKochi",Malayalam,13:50,ClassicPlus,₹140,81,26
Kerala,Kochi,"BMS|PvrOberonMallKochi",Malayalam,13:50,Classic,₹120,36,2
Kerala,SultanBathery,"PTM|AiswaryaAthulyaAiswaryaCineplexSulthanBathery",Malayalam,14:00,Recliner,₹250,9,0
Kerala,SultanBathery,"PTM|AiswaryaAthulyaAiswaryaCineplexSulthanBathery",Malayalam,14:00,PlatinumClass,₹112,156,0
Kerala,Trivandrum,"PTM|AriesplexSlCinemasCinionicDolbyAtmosTrivandrum",Malayalam,14:00,Gold,₹250,14,3
Kerala,Trivandrum,"PTM|AriesplexSlCinemasCinionicDolbyAtmosTrivandrum",Malayalam,14:00,Executive,₹150,185,56
Kerala,Trivandrum,"PTM|AriesplexSlCinemasCinionicDolbyAtmosTrivandrum",Malayalam,14:00,Economy,₹100,21,5
Kerala,Thrissur,"BMS|DeepaCinema2K111Viyyur",Malayalam,14:00,LuxurySuit,₹250,16,0
Kerala,Thrissur,"BMS|DeepaCinema2K111Viyyur",Malayalam,14:00,Platinum,₹129,296,0
Kerala,Kottayam,"BMS|AnupamaTheatreDolby71Kottayam",Malayalam,14:00,PremiumBalcony,₹140,149,3
Kerala,Kottayam,"BMS|AnupamaTheatreDolby71Kottayam",Malayalam,14:00,UpperCircle,₹100,473,4
Kerala,Kottayam,"BMS|AnupamaTheatreDolby71Kottayam",Malayalam,14:00,Circle,₹110,194,194
Kerala,Changanassery,"BMS|ApsaraTheatreDolby71Changanassery",Malayalam,14:00,KingsLounge,₹112,115,0
Kerala,Changanassery,"BMS|ApsaraTheatreDolby71Changanassery",Malayalam,14:00,RoyalLounge,₹140,160,1
Kerala,Changanassery,"BMS|ApsaraTheatreDolby71Changanassery",Malayalam,14:00,PrinceLounge,₹100,268,0
Kerala,Kozhikode,"PTM|MallikaPlexDolbyAtmosCalicut",Malayalam,14:15,Executive,₹140,162,6
Kerala,Pathanamthitta,"BMS|SCinemasKonni",Malayalam,14:30,Platinum,₹150,81,20
Kerala,Pathanamthitta,"BMS|SCinemasKonni",Malayalam,14:30,Gold,₹110,368,12
Kerala,Pathanamthitta,"BMS|SreelakshmiTheatreRanni",Malayalam,14:30,GoldClass,₹110,206,0
Kerala,Kadakkal,"BMS|SreeDhanyaCinemax",Malayalam,14:30,Executive,₹300,14,0
Kerala,Kadakkal,"BMS|SreeDhanyaCinemax",Malayalam,14:30,Platinum,₹129.8,217,0
Kerala,Kadakkal,"BMS|SreeDhanyaCinemax",Malayalam,14:30,PlatinumFamily,₹129.8,113,0
Kerala,Thodupuzha,"BMS|GmaxCinemasThodupuzha",Malayalam,14:30,Box,₹180,3,3
Kerala,Thodupuzha,"BMS|GmaxCinemasThodupuzha",Malayalam,14:30,Blue,₹140,174,0
Kerala,Pandalam,"BMS|ThrilokCinemasPandalam",Malayalam,14:30,ExecutiveClass,₹160,31,0
Kerala,Pandalam,"BMS|ThrilokCinemasPandalam",Malayalam,14:30,ExecutiveClass1,₹150,127,0
Kerala,Muvattupuzha,"BMS|LakshmiCinemasCantonMallMuvattupuzha",Malayalam,14:30,Gold,₹150,121,0
Kerala,Nooranad,"BMS|SwathyScreensNooranad",Malayalam,14:30,Premium,₹150,140,140
Kerala,Nooranad,"BMS|SwathyScreensNooranad",Malayalam,14:30,GoldPlus,₹200,12,12
Kerala,Alappuzha,"BMS|PanCinemasAlappuzha",Malayalam,14:30,Platinum,₹250,34,0
Kerala,Alappuzha,"BMS|PanCinemasAlappuzha",Malayalam,14:30,Gold,₹180,138,3
Kerala,Malappuram,"PTM|MallikaPlexRachanaNaveenMalappuram",Malayalam,14:30,Sofa,₹200,11,0
Kerala,Malappuram,"PTM|MallikaPlexRachanaNaveenMalappuram",Malayalam,14:30,Executive,₹129.8,140,0
Kerala,Mannarkkad,"PTM|OkazChembakassery2KAuro111",Malayalam,14:30,Balcony,₹129.8,170,3
Kerala,Mannarkkad,"PTM|OkazChembakassery2KAuro111",Malayalam,14:30,FirstClass,₹110,428,9
Kerala,Mananthavady,"BMS|VarnaTheatreMananthavady",Malayalam,14:30,Diamond,₹120,224,0
Kerala,Pala,"BMS|JoSAC2K3D71DolbySoundPala",Malayalam,14:30,RoyalCircle,₹150,286,0
Kerala,Palakkad,"BMS|KairaliSreeTheatreChittur",Malayalam,14:30,Platinum,₹105,234,0
Kerala,Valanchery,"PTM|PopularFilmCityACPerinthalmannaRoad",Malayalam,14:30,DiamondCircle,₹110,352,0
Kerala,Vadakkencherry,"BMS|JayabharathTheatreVadakkencherry",Malayalam,14:30,Screen1,₹120,293,90
Kerala,Kollam,"BMS|GmaxCinemasJerome3D71JblKollam",Malayalam,14:45,Blue,₹160,170,22
Kerala,Ettumanoor,"BMS|UgmCinemasEttumanoor",Malayalam,14:45,Platinum,₹250,16,0
Kerala,Ettumanoor,"BMS|UgmCinemasEttumanoor",Malayalam,14:45,Gold,₹150,171,3
