District,Name,Language,Time(IST),Area,Price,Capacity,Booked
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,10:30,Normal,₹99,26,3
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,10:30,Executive,₹99,56,1
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,10:30,Premium,₹99,117,44
Kannur,ShanthiCinemasPayyanur,Malayalam,10:30,Platinum,₹130,443,47
Kasaragod,KaveriCinemasACDtsDolbyKarmamthody,Malayalam,10:30,Standard,₹110,145,0
Malappuram,IllamCinemas4KDolbyAtmosPandikkad,Malayalam,10:30,DiamondCircle,₹129.8,182,0
Ernakulam,MyCinemasKsrtComplexAngamalyKerala,Malayalam,10:45,GoldOffline,₹100,203,27
Wayanad,AiswaryaAthulyaAiswaryaCineplexSulthanBathery,Malayalam,11:00,SofaSeat,₹180,44,0
Wayanad,AiswaryaAthulyaAiswaryaCineplexSulthanBathery,Malayalam,11:00,GoldClass,₹110,63,0
Wayanad,PentaCinemasPulpally,Malayalam,11:15,GoldClass,₹110,154,4
Ernakulam,PvrLuluKochi,Malayalam,11:15,Recliner,₹300,13,5
Ernakulam,PvrLuluKochi,Malayalam,11:15,Prime,₹160,143,16
Ernakulam,PvrLuluKochi,Malayalam,11:15,ClassicPlus,₹140,133,9
Ernakulam,PvrLuluKochi,Malayalam,11:15,Classic,₹110,57,0
Alappuzha,SnTheatreHaripad,Malayalam,11:15,Screen1,₹110,175,0
Thrissur,InoxSobhaCityMall,Malayalam,11:25,RoyalRecliner,₹200,10,3
Thrissur,InoxSobhaCityMall,Malayalam,11:25,Club,₹130,155,13
Thrissur,InoxSobhaCityMall,Malayalam,11:25,Royal,₹130,32,18
Thrissur,InoxSobhaCityMall,Malayalam,11:25,Executive,₹100,26,1
Palakkad,PriyadarsiniCinema,Malayalam,11:30,Executive,₹180,68,0
Palakkad,PriyadarsiniCinema,Malayalam,11:30,Dress,₹110,368,0
Kottayam,RajansMetroACChristieErattupetta,Malayalam,11:30,FamilyBox,₹160,16,16
Kottayam,RajansMetroACChristieErattupetta,Malayalam,11:30,Platinum,₹140,62,62
Kottayam,RajansMetroACChristieErattupetta,Malayalam,11:30,Gold,₹110,256,256
Wayanad,VarnaTheatreMananthavady,Malayalam,11:30,Diamond,₹120,224,2
Trivandrum,AriesplexSlCinemasCinionicDolbyAtmosTrivandrum,Malayalam,11:30,Gold,₹250,14,3
Trivandrum,AriesplexSlCinemasCinionicDolbyAtmosTrivandrum,Malayalam,11:30,Executive,₹150,185,43
Trivandrum,AriesplexSlCinemasCinionicDolbyAtmosTrivandrum,Malayalam,11:30,Economy,₹100,21,5
Ernakulam,LakshmiCinemasCantonMallMuvattupuzha,Malayalam,11:30,Gold,₹150,121,7
Kannur,MagicFramesDowntownMallThalassery,Malayalam,11:30,Gold,₹140,131,0
Trivandrum,CinepolisMotTrivandrum,Malayalam,11:30,PlatinumExecutive,₹200,32,0
Trivandrum,CinepolisMotTrivandrum,Malayalam,11:30,PlatinumPremium,₹250,33,0
Idukki,SanthoshCinemaDolby71Kattappana,Malayalam,12:00,RoyalCircle,₹110,268,0
Thrissur,AppasTheatreGuruvayur,Malayalam,12:00,Gold,₹129.8,160,0
Thrissur,AppasTheatreGuruvayur,Malayalam,12:00,Silver,₹110,391,0
Ernakulam,SavitaCinemaKochi,Malayalam,12:00,Deluxe,₹150,555,36
Thrissur,DeepaCinema2K111Viyyur,Malayalam,12:00,LuxurySuit,₹250,16,0
Thrissur,DeepaCinema2K111Viyyur,Malayalam,12:00,Platinum,₹129,296,3
Kannur,SjGCinemas4KDolbyAtmosUlikkal,Malayalam,12:00,Standard,₹130,140,5
Ernakulam,ShafazLaserGrand4KTheatreNorthParavoor,Malayalam,12:00,BrownSquare,₹120,279,25
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Malayalam,12:30,Recliner,₹300,29,0
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Malayalam,12:30,Premium,₹150,135,9
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Malayalam,12:30,Executive,₹100,27,1
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Malayalam,12:30,Lounger,₹180,24,1
Ernakulam,CinepolisVipCentreSquareMallKochi,Malayalam,12:55,VipExecutive,₹250,20,0
Ernakulam,CinepolisVipCentreSquareMallKochi,Malayalam,12:55,VipPremium,₹250,53,21
Kannur,AlakodeFilmCity4KDolbyAtmos,Malayalam,13:00,Chandra,₹160,151,0
Malappuram,VismayaCinemas4KDolbyAtmosPerinthalmanna,Malayalam,13:00,Platinum,₹100,111,13
Kannur,ShanthiCinemasPayyanur,Malayalam,13:30,Platinum,₹130,443,47
Kollam,MyCinemasHJComplexKarunagapally,Malayalam,13:30,ClassicOffline,₹110,194,0
Idukki,AashirvadCineplexxThodupuzha,Malayalam,13:45,Gold,₹185,11,0
Idukki,AashirvadCineplexxThodupuzha,Malayalam,13:45,Silver,₹155,91,1
Kozhikode,RegalCinemasKozhikode,Malayalam,13:45,FirstclassSc1,₹200,95,6
Kannur,MagicFramesDowntownMallThalassery,Malayalam,13:45,Gold,₹140,131,5
