District,Name,Language,Time(IST),Area,Price,Capacity,Booked
Ernakulam,PvrLuluKochi,Hindi,12:05,Recliner,₹450,54,10
Trivandrum,PvrLuluTrivandrum,Hindi,14:05,Prime,₹400,32,4
Trivandrum,PvrLuluTrivandrum,Hindi,14:05,Classic,₹350,48,2
Thrissur,InoxSobhaCityMall,Hindi,14:40,RoyalRecliner,₹350,10,0
Thrissur,InoxSobhaCityMall,Hindi,14:40,Club,₹190,155,4
Thrissur,InoxSobhaCityMall,Hindi,14:40,Royal,₹190,32,15
Thrissur,InoxSobhaCityMall,Hindi,14:40,Executive,₹130,26,0
Ernakulam,SridarMarineDriveKochi,Hindi,14:45,GoldClass,₹160,150,28
Ernakulam,SridarMarineDriveKochi,Hindi,14:45,ClubClass,₹140,267,0
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Hindi,18:20,Silver,₹220,28,1
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Hindi,18:20,Gold,₹240,84,4
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Hindi,18:20,Platinum,₹260,42,0
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Hindi,18:20,Recliner,₹450,12,0
Ernakulam,SridarMarineDriveKochi,Hindi,18:30,GoldClass,₹160,150,150
Ernakulam,SridarMarineDriveKochi,Hindi,18:30,ClubClass,₹140,267,267
Trivandrum,PvrLuluTrivandrum,Hindi,18:35,Recliner,₹450,7,5
Trivandrum,PvrLuluTrivandrum,Hindi,18:35,Prime,₹230,60,38
Trivandrum,PvrLuluTrivandrum,Hindi,18:35,Classic,₹210,77,0
Ernakulam,PvrLuluKochi,Hindi,18:55,Classic,₹400,116,29
Ernakulam,PvrForumMallKochi,Hindi,22:15,Recliner,₹500,8,6
Ernakulam,PvrForumMallKochi,Hindi,22:15,Elite,₹220,111,52
Ernakulam,PvrForumMallKochi,Hindi,22:15,Classic,₹200,28,0
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Hindi,22:45,Recliner,₹450,27,2
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Hindi,22:45,Premium,₹220,146,10
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Hindi,22:45,Executive,₹150,25,0
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Hindi,22:45,Lounger,₹250,22,0
Kannur,SumangaliCinemasAnnurRoad,Hindi,13:00,GoldenCircle,₹130,576,3
Kannur,SumangaliCinemasAnnurRoad,Hindi,16:15,GoldenCircle,₹130,192,1
Kannur,SumangaliCinemasAnnurRoad,Hindi,19:30,GoldenCircle,₹130,576,9
Kannur,SumangaliCinemasAnnurRoad,Hindi,22:30,GoldenCircle,₹130,192,1
