City,Time(IST),Name,Area,Price,Capacity,Booked,Language,Format
Trivandrum,19:15,CinepolisMOTEanchakkalThiruvananthapuram,Normal,₹260,34,0,Hindi,2D
Trivandrum,19:15,CinepolisMOTEanchakkalThiruvananthapuram,Executive,₹280,85,56,Hindi,2D
Trivandrum,19:15,CinepolisMOTEanchakkalThiruvananthapuram,PlatinumPremium,₹300,50,39,Hindi,2D
Kannur,19:15,CinepolisSecuraCentreKannur,Normal,₹190,26,0,Hindi,2D
Kannur,19:15,CinepolisSecuraCentreKannur,Executive,₹210,81,2,Hindi,2D
Kannur,19:15,CinepolisSecuraCentreKannur,Premium,₹230,43,23,Hindi,2D
Kozhikode,20:30,CinepolisGokulamGalleriaMallArayidathupalamKozhikode,Normal,₹200,38,4,Hindi,2D
Kozhikode,20:30,CinepolisGokulamGalleriaMallArayidathupalamKozhikode,Executive,₹220,65,24,Hindi,2D
Kozhikode,20:30,CinepolisGokulamGalleriaMallArayidathupalamKozhikode,Premium,₹240,56,25,Hindi,2D
Ernakulam,20:30,CinepolisVIPCentreSquareMallErnakulamKochi,VipExecutive,₹600,22,0,Hindi,2D
Ernakulam,20:30,CinepolisVIPCentreSquareMallErnakulamKochi,VipPremium,₹650,54,46,Hindi,2D
Trivandrum,21:55,PVRLULULuluInternationalShoppingMallTrivandrum,Classic,₹230,77,45,Hindi,2D
Trivandrum,21:55,PVRLULULuluInternationalShoppingMallTrivandrum,Prime,₹250,60,56,Hindi,2D
Trivandrum,21:55,PVRLULULuluInternationalShoppingMallTrivandrum,Recliner,₹500,7,7,Hindi,2D
Thrissur,22:10,INOXSobhaCityMallPuzhakkalThrissur,Executive,₹140,22,4,Hindi,2D
Thrissur,22:10,INOXSobhaCityMallPuzhakkalThrissur,Club,₹200,66,7,Hindi,2D
Thrissur,22:10,INOXSobhaCityMallPuzhakkalThrissur,Royal,₹200,28,18,Hindi,2D
Thrissur,22:10,INOXSobhaCityMallPuzhakkalThrissur,RoyalRecliner,₹360,10,6,Hindi,2D
Ernakulam,22:15,PVRForumMallNH47Kochi,Classic,₹170,24,0,Hindi,2D
Ernakulam,22:15,PVRForumMallNH47Kochi,Elite,₹230,111,36,Hindi,2D
Ernakulam,22:15,PVRForumMallNH47Kochi,Recliner,₹450,10,4,Hindi,2D
Ernakulam,23:00,CinepolisCentreSquareMallErnakulamKochi,Normal,₹210,27,5,Hindi,2D
Ernakulam,23:00,CinepolisCentreSquareMallErnakulamKochi,Executive,₹230,45,6,Hindi,2D
Ernakulam,23:00,CinepolisCentreSquareMallErnakulamKochi,Premium,₹250,94,19,Hindi,2D
