District,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kannur,MagicFramesSahinaCinemasMattannur,Tamil,18:30,Audi2,₹129.78,144,0
Kannur,MagicFramesSahinaCinemasMattannur,Tamil,21:30,Audi2,₹129.78,144,0
