State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kerala,Kochi,"BMS|PvrLuluKochi",Tamil,16:40,Prime,₹160,125,24
Kerala,Kochi,"BMS|PvrLuluKochi",Tamil,16:40,ClassicPlus,₹140,108,10
Kerala,Kochi,"BMS|PvrLuluKochi",Tamil,16:40,Classic,₹110,54,2
Kerala,Kadalundi,"BMS|ChithraCineplex4KDtsXKozhikodeMannurValavu",Tamil,17:15,Gold,₹129.8,142,0
Kerala,Alappuzha,"BMS|PanCinemasAlappuzha",Tamil,17:20,Platinum,₹250,34,4
Kerala,Alappuzha,"BMS|PanCinemasAlappuzha",Tamil,17:20,Gold,₹180,138,2
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Tamil,17:35,Normal,₹200,27,13
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Tamil,17:35,Executive,₹220,78,12
Kerala,Kozhikode,"BMS|CinepolisGokulamGalleriaMall",Tamil,17:35,Premium,₹240,41,1
Kerala,Kollengode,"PTM|GowriMovieHouse2KDolby71Kollengode",Tamil,17:45,FirstClass,₹110,129,0
Kerala,Mananthavady,"PTM|MaruthiECinemas4KAtmosMananthavady",Tamil,17:45,Sofa,₹140,42,0
Kerala,Mananthavady,"PTM|MaruthiECinemas4KAtmosMananthavady",Tamil,17:45,Executive,₹110,156,2
Kerala,Palakkad,"BMS|VCinemasSreeDeviDurgaPalakkad",Tamil,18:00,Standard,₹129.8,126,12
Kerala,Kozhinjampara,"BMS|CowmalyaTheatreKozhinjampara",Tamil,18:00,Gold,₹129.8,207,12
Kerala,Trivandrum,"BMS|SreePadmanabhaTheatreScreen2EastFort",Tamil,18:00,Devipriya,₹150,186,2
Kerala,Kottakkal,"PTM|SangeethLumiereDolbyAtmosKottakkal",Tamil,18:05,Executive,₹129.8,212,0
Kerala,Trivandrum,"BMS|SreeKaleeswarySreeSaraswathy2K3DKaliyikkav",Tamil,18:15,RoyalCircle,₹150,87,0
Kerala,Koppam,"BMS|SyndicateCinemasKoppam4KDolbyAtmosRgbLaser",Tamil,18:30,Platinum,₹250,16,0
Kerala,Koppam,"BMS|SyndicateCinemasKoppam4KDolbyAtmosRgbLaser",Tamil,18:30,Gold,₹129,166,6
Kerala,Koppam,"BMS|SyndicateCinemasKoppam4KDolbyAtmosRgbLaser",Tamil,18:30,PlatinumCouple,₹250,4,0
Kerala,Valanchery,"PTM|PopularFilmCityACPerinthalmannaRoad",Tamil,18:30,DiamondCircle,₹110,181,7
Kerala,Kozhikode,"BMS|AashirvadCineplexxKozhikode",Tamil,18:45,Recliner,₹380,17,11
Kerala,Kozhikode,"BMS|AashirvadCineplexxKozhikode",Tamil,18:45,Platinum,₹220,51,2
Kerala,Kozhikode,"BMS|AashirvadCineplexxKozhikode",Tamil,18:45,Gold,₹200,111,3
Kerala,Trivandrum,"BMS|PvrLuluTrivandrum",Tamil,18:55,Recliner,₹350,7,0
Kerala,Trivandrum,"BMS|PvrLuluTrivandrum",Tamil,18:55,Prime,₹190,60,27
Kerala,Trivandrum,"BMS|PvrLuluTrivandrum",Tamil,18:55,Classic,₹160,77,5
Kerala,Trivandrum,"BMS|CinepolisMotTrivandrum",Tamil,19:05,Executive,₹200,32,9
