District,Name,Language,Time(IST),Area,Price,Capacity,Booked
Trivandrum,PvrLuluTrivandrum,Telugu,14:55,Recliner,₹400,7,1
Trivandrum,PvrLuluTrivandrum,Telugu,14:55,Prime,₹210,60,28
Trivandrum,PvrLuluTrivandrum,Telugu,14:55,Classic,₹180,77,4
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Telugu,20:00,Recliner,₹450,27,8
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Telugu,20:00,Premium,₹220,165,96
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Telugu,20:00,Executive,₹150,40,0
Ernakulam,ShenoysKochi,Telugu,22:00,Lounge,₹330,26,20
Ernakulam,ShenoysKochi,Telugu,22:00,Diamond,₹220,88,23
Ernakulam,PvrLuluKochi,Telugu,22:00,Recliner,₹400,10,9
Ernakulam,PvrLuluKochi,Telugu,22:00,Prime,₹180,68,60
Ernakulam,PvrLuluKochi,Telugu,22:00,ClassicPlus,₹140,91,40
Ernakulam,PvrLuluKochi,Telugu,22:00,Classic,₹110,39,0
