District,Name,Language,Time(IST),Area,Price,Capacity,Booked
Ernakulam,PadmaCinemaKochi,Malayalam,15:45,Platinum,₹160,178,22
Ernakulam,PvrLuluKochi,Malayalam,16:25,Recliner,₹350,9,5
Ernakulam,PvrLuluKochi,Malayalam,16:25,Prime,₹160,64,4
Ernakulam,PvrLuluKochi,Malayalam,16:25,ClassicPlus,₹140,91,12
Ernakulam,PvrLuluKochi,Malayalam,16:25,Classic,₹110,39,1
Thrissur,JkCinemas4KDolbyAtmosKizhuthani,Malayalam,18:45,Diamond,₹130,53,0
Thrissur,JkCinemas4KDolbyAtmosKizhuthani,Malayalam,18:45,Gold,₹125,157,0
Thrissur,JkCinemas4KDolbyAtmosKizhuthani,Malayalam,21:30,Diamond,₹130,53,0
Thrissur,JkCinemas4KDolbyAtmosKizhuthani,Malayalam,21:30,Gold,₹125,157,0
Ernakulam,PvrForumMallKochi,Malayalam,22:40,Recliner,₹350,8,0
Ernakulam,PvrForumMallKochi,Malayalam,22:40,Elite,₹170,125,0
Ernakulam,PvrForumMallKochi,Malayalam,22:40,Classic,₹150,14,0
