District,Name,Language,Time(IST),Area,Price,Capacity,Booked
Ernakulam,PadmaCinemaKochi,Malayalam,15:45,Platinum,₹160,178,18
Ernakulam,PvrLuluKochi,Malayalam,16:25,Recliner,₹300,9,0
Ernakulam,PvrLuluKochi,Malayalam,16:25,Prime,₹160,64,26
Ernakulam,PvrLuluKochi,Malayalam,16:25,ClassicPlus,₹140,91,2
Ernakulam,PvrLuluKochi,Malayalam,16:25,Classic,₹110,39,0
Thrissur,JkCinemas4KDolbyAtmosKizhuthani,Malayalam,18:45,Diamond,₹130,53,0
Thrissur,JkCinemas4KDolbyAtmosKizhuthani,Malayalam,18:45,Gold,₹125,157,0
Thrissur,JkCinemas4KDolbyAtmosKizhuthani,Malayalam,21:30,Diamond,₹130,53,2
Thrissur,JkCinemas4KDolbyAtmosKizhuthani,Malayalam,21:30,Gold,₹125,157,0
Ernakulam,PvrForumMallKochi,Malayalam,22:40,Recliner,₹400,8,6
Ernakulam,PvrForumMallKochi,Malayalam,22:40,Elite,₹170,125,21
Ernakulam,PvrForumMallKochi,Malayalam,22:40,Classic,₹150,14,0
Kottayam,PuthettuCinemasPala,,21:45,GoldsofaSlider,₹254,44,0
Kottayam,PuthettuCinemasPala,,21:45,DiamondfamilyCouch,₹304,12,0
Kottayam,PuthettuCinemasPala,,21:45,Silver,₹204,128,4
