District,Name,Language,Time(IST),Area,Price,Capacity,Booked
Thrissur,InoxSobhaCityMall,English,11:00,RoyalRecliner,₹229,10,0
Thrissur,InoxSobhaCityMall,English,11:00,Club,₹129,63,2
Thrissur,InoxSobhaCityMall,English,11:00,Executive,₹129,22,0
Thrissur,InoxSobhaCityMall,English,11:00,Royal,₹129,28,16
Ernakulam,PvrOberonMallKochi,English,11:15,ClassicPlus,₹175,141,23
Ernakulam,PvrOberonMallKochi,English,11:15,Classic,₹165,36,0
Ernakulam,PvrLuluKochi,English,11:45,Recliner,₹380,10,7
Ernakulam,PvrLuluKochi,English,11:45,Prime,₹190,68,32
Ernakulam,PvrLuluKochi,English,11:45,ClassicPlus,₹170,91,22
Ernakulam,PvrLuluKochi,English,11:45,Classic,₹120,39,0
Ernakulam,CinepolisCentreSquareMallKochi,English,13:25,Normal,₹170,20,3
Ernakulam,CinepolisCentreSquareMallKochi,English,13:25,Executive,₹190,43,20
Ernakulam,CinepolisCentreSquareMallKochi,English,13:25,Premium,₹210,44,21
Kozhikode,CinepolisGokulamGalleriaMall,English,13:30,Normal,₹220,38,12
Kozhikode,CinepolisGokulamGalleriaMall,English,13:30,Executive,₹240,69,13
Kozhikode,CinepolisGokulamGalleriaMall,English,13:30,Premium,₹260,56,7
Trivandrum,PvrLuluTrivandrum,English,14:55,Prime,₹330,32,16
Trivandrum,PvrLuluTrivandrum,English,14:55,Classic,₹280,48,15
Ernakulam,PvrLuluKochi,English,15:55,Classic,₹330,116,37
Thrissur,InoxSobhaCityMall,English,16:10,RoyalRecliner,₹229,10,8
Thrissur,InoxSobhaCityMall,English,16:10,Club,₹129,63,17
Thrissur,InoxSobhaCityMall,English,16:10,Executive,₹129,22,0
Thrissur,InoxSobhaCityMall,English,16:10,Royal,₹129,28,28
Trivandrum,PvrLuluTrivandrum,English,19:40,Recliner,₹330,8,8
Trivandrum,PvrLuluTrivandrum,English,19:40,Prime,₹200,39,16
Trivandrum,PvrLuluTrivandrum,English,19:40,Classic,₹180,60,17
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,21:00,Recliner,₹390,23,0
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,21:00,Premium,₹190,88,12
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,21:00,Executive,₹100,17,4
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,21:00,Lounger,₹210,14,0
