City,Time(IST),Name,Area,Price,Capacity,Booked,Language,Format
Ernakulam,16:25,PVRLuluLuluInternationalShoppingMallKochi,Classic,₹160,39,0,English,2D
Ernakulam,16:25,PVRLuluLuluInternationalShoppingMallKochi,ClassicPlus,₹180,91,9,English,2D
Ernakulam,16:25,PVRLuluLuluInternationalShoppingMallKochi,Prime,₹200,68,4,English,2D
Ernakulam,16:25,PVRLuluLuluInternationalShoppingMallKochi,Recliner,₹350,10,6,English,2D
Trivandrum,19:00,PVRLULULuluInternationalShoppingMallTrivandrum,Classic,₹170,60,4,English,2D
Trivandrum,19:00,PVRLULULuluInternationalShoppingMallTrivandrum,Prime,₹190,39,6,English,2D
Trivandrum,19:00,PVRLULULuluInternationalShoppingMallTrivandrum,Recliner,₹350,8,5,English,2D
