State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kerala,Alappuzha,"BMS|CherthalaKairaliSreeTheatre",Malayalam,11:30,Platinum,₹125,262,0
Kerala,Trivandrum,"BMS|LeninCinemas4K3DDolbyAtmosKsfdcTrivandrum",Malayalam,11:30,Platinum,₹150,22,0
Kerala,Trivandrum,"BMS|LeninCinemas4K3DDolbyAtmosKsfdcTrivandrum",Malayalam,11:30,Gold,₹129,144,1
